Cód.,Município,Salario
2106706,Mirador (MA),1569.91
2106755,Miranda do Norte (MA),1849.98
2106805,Mirinzal (MA),1043.03
2106904,Monção (MA),2044.4
2107001,Montes Altos (MA),1394.77
2107100,Morros (MA),1994.64
2107209,Nina Rodrigues (MA),2207.9
2107258,Nova Colinas (MA),1698.33
2107308,Nova Iorque (MA),1275.69
2107357,Nova Olinda do Maranhão (MA),1907.72
2107407,Olho d'Água das Cunhãs (MA),1488.77
2107456,Olinda Nova do Maranhão (MA),1500.08
2107506,Paço do Lumiar (MA),1711.91
2107605,Palmeirândia (MA),1162.72
2107704,Paraibano (MA),1700.75
2107803,Parnarama (MA),1419.87
2107902,Passagem Franca (MA),1409.36
2108009,Pastos Bons (MA),2008.69
2108058,Paulino Neves (MA),1637.81
2108108,Paulo Ramos (MA),2130.84
2108207,Pedreiras (MA),1802.28
2108256,Pedro do Rosário (MA),2142.65
2108306,Penalva (MA),1250.89
2108405,Peri Mirim (MA),1376.56
2108454,Peritoró (MA),2095.56
2108504,Pindaré-Mirim (MA),1476.97
2108603,Pinheiro (MA),1877.5
2108702,Pio XII (MA),1556.34
2108801,Pirapemas (MA),1922.97
2108900,Poção de Pedras (MA),2297.86
2109007,Porto Franco (MA),2072.42
2109056,Porto Rico do Maranhão (MA),1616
2109106,Presidente Dutra (MA),1794.38
2109205,Presidente Juscelino (MA),1902.82
2109239,Presidente Médici (MA),1259.05
2109270,Presidente Sarney (MA),1783.49
2109304,Presidente Vargas (MA),1762.66
2109403,Primeira Cruz (MA),999.41
2109452,Raposa (MA),1661.82
2109502,Riachão (MA),1856.17
2109551,Ribamar Fiquene (MA),1676.19
2109601,Rosário (MA),1741.1
2109700,Sambaíba (MA),1609.21
2109759,Santa Filomena do Maranhão (MA),2019.25
2109809,Santa Helena (MA),1842.39
2109908,Santa Inês (MA),1731.18
2110005,Santa Luzia (MA),1950.9
2110039,Santa Luzia do Paruá (MA),1587.62
2110104,Santa Quitéria do Maranhão (MA),1813.78
2110203,Santa Rita (MA),1784.86
2110237,Santana do Maranhão (MA),1810.75
2110278,Santo Amaro do Maranhão (MA),1998.79
2110302,Santo Antônio dos Lopes (MA),3645.49
2110401,São Benedito do Rio Preto (MA),1976.57
2110500,São Bento (MA),2079.73
2110609,São Bernardo (MA),1423.84
2110658,São Domingos do Azeitão (MA),1623.1
2110708,São Domingos do Maranhão (MA),1844.04
2110807,São Félix de Balsas (MA),1442.57
2110856,São Francisco do Brejão (MA),1913.18
2110906,São Francisco do Maranhão (MA),1716.68
2111003,São João Batista (MA),2491.8
2111029,São João do Carú (MA),2359.6
2111052,São João do Paraíso (MA),1756.75
2111078,São João do Soter (MA),1711.69
2111102,São João dos Patos (MA),1914.21
2111201,São José de Ribamar (MA),1701.67
2111250,São José dos Basílios (MA),2376.62
2111300,São Luís (MA),3078.18
2111409,São Luís Gonzaga do Maranhão (MA),1602.17
2111508,São Mateus do Maranhão (MA),1777.89
2111532,São Pedro da Água Branca (MA),1694.28
2111573,São Pedro dos Crentes (MA),1572.83
2111607,São Raimundo das Mangabeiras (MA),1675.47
2111631,São Raimundo do Doca Bezerra (MA),1596.24
2111672,São Roberto (MA),1796.24
2111706,São Vicente Ferrer (MA),1829.2
2111722,Satubinha (MA),1288.8
2111748,Senador Alexandre Costa (MA),1595.56
2111763,Senador La Rocque (MA),1802.42
2111789,Serrano do Maranhão (MA),2040.16
2111805,Sítio Novo (MA),1722.14
2111904,Sucupira do Norte (MA),1338.74
2111953,Sucupira do Riachão (MA),1474.71
2112001,Tasso Fragoso (MA),2190.73
2112100,Timbiras (MA),1755.97
2112209,Timon (MA),1757.29
2112233,Trizidela do Vale (MA),1852.32
2112274,Tufilândia (MA),1805.65
2112308,Tuntum (MA),1414.16
2112407,Turiaçu (MA),2023.85
2112456,Turilândia (MA),1851.72
2112506,Tutóia (MA),1344.92
2112605,Urbano Santos (MA),1604.37
2112704,Vargem Grande (MA),1708.4
2112803,Viana (MA),1793.95
2112852,Vila Nova dos Martírios (MA),2401.93
2112902,Vitória do Mearim (MA),1901.35
2113009,Vitorino Freire (MA),1878.57
2114007,Zé Doca (MA),1934.45
2200053,Acauã (PI),1803.98
2200103,Agricolândia (PI),1726.16
2200202,Água Branca (PI),1505.68
2200251,Alagoinha do Piauí (PI),1690.44
2200277,Alegrete do Piauí (PI),1508.89
2200301,Alto Longá (PI),1371.18
2200400,Altos (PI),1707.73
2200459,Alvorada do Gurguéia (PI),1457.86
2200509,Amarante (PI),2144.69
2200608,Angical do Piauí (PI),1617
2200707,Anísio de Abreu (PI),1533.12
2200806,Antônio Almeida (PI),1726.3
2200905,Aroazes (PI),1571.77
2200954,Aroeiras do Itaim (PI),1584.36
2201002,Arraial (PI),1537.93
2201051,Assunção do Piauí (PI),1419
2201101,Avelino Lopes (PI),1410.52
2201150,Baixa Grande do Ribeiro (PI),2146.3
2201176,Barra D'Alcântara (PI),1809.46
2201200,Barras (PI),1571.18
2201309,Barreiras do Piauí (PI),2090.48
2201408,Barro Duro (PI),1521.89
